計畫名稱,class,關鍵詞,NER
強化人文藝術及社會科學基礎應用人才培育計畫(4/4),2,"['社科', '師生', '專長', '開創力', '高中生', '高中', '興趣', '學程']",[]
校園學術倫理教育與機制發展計畫(1/4),2,"['倫理', '大專校院', '師生']","['臺灣學術倫理教育推廣資源中心', '臺灣']"
人文及社會科學期刊引文索引資料庫系統建置計畫(3/4),2,"['科政', '期刊', '索引', '專書', '博士', '論文', '引文']","['國圖', '臺', '國研院科政中心', '國科會人文處', '4年', '澳', '國圖', '103年', '港', '102年']"
現代公民核心能力養成計畫(4/4),2,"['素養', '倫理', '課群', '研習營']",[]
未來想像與創意人才培育計畫(4/4),2,"['家園', '焦點', '高中', '大專', '師生', '倫理']",[]
科學人文跨科際人才培育-大學跨領域溝通能力養成計畫(3/4),2,"['研究型', '課群', '學程', '中學', '研習營', '師生']",[]
科專政策研究及管理綱要計畫(4/4),2,"['政策面', '策略面', '預算', '整體性', '規劃面', '鏈結面', '中長期', '期刊', '菁英', '工商', '說明會', '提案', '途徑', '時效性', '地位', '美國', '決議', '綜效', '契機']","['台灣', '政府', '兩岸', '工研院', '兩岸', '俄羅斯莫斯科', '日', '台經院', '兩岸', '中國大陸', '資策會', '歐洲', '台', '兩岸', '台灣', '俄羅斯', '日', '台灣', '兩岸', '中國', '亞東關係協會', '日', '臺灣', '兩岸', '兩岸', '東京', '中國大陸', '兩岸', '美國矽谷', '日本', '兩岸', '科技基本法', '兩岸', '日', '亞洲', '台', '日', '第四', '北美', '2030年', '政府', '兩岸', '台灣', '日本', '中國大陸', '兩岸', '德國', '日', '兩岸', '台灣']"
科技計畫規劃與管理計畫(1/4),2,"['收支', '說明會']",[]
生物技術研發成果產業化輔導計畫(1/4),2,['說明會'],['經濟部工業局']
優化中小企業科技加值應用環境之策略佈局計畫(1/4),2,"['樣貌', '特質', '提案']","['中國', '2025年']"
科學教育研究發展(1/1),2,"['數學', '素養', '原住民', '興趣', '形式', '高中']",[]
高瞻計畫：高中、職新興科技課程研發與推廣(4/5),2,"['高中', '素養']","['第二', '高瞻', '第一', '高瞻', '第一']"
生物、醫、農科學研究發展綱要計畫(1/1),2,"['自由型', '突破性', '期刊']",[]
綜合業務及推廣科技發展方案(1/1),2,"['博士', '學位', '主持人', '大專', '貢獻獎', '研究獎', '創作獎']","['吳大猷', '兩岸', '大陸', '台', '兩岸', '兩岸', '大陸', '兩岸', '行政院']"
研發環境綜合整備及科技行政協調管理(1/1),2,"['時效性', '科學園區', '基金', '預算']","['台灣', '行政院']"
科技發展之企劃考核(1/1),2,['同仁'],['國科會']
推動前瞻及應用科技研究(1/1),2,"['助益', '原創性']",[]
推動國際科技合作(1/1),2,"['科技組', '博士', '大專校院']","['亞', '美', '以', '歐', '近年']"
台灣科普傳播事業發展計畫(4/4),2,"['碩士', '學位', '學程']",[]
人文及社會科學研究發展計畫(1/4),2,"['倫理', '期刊', '專書', '原住民', '部落']","['台南科學工業園區', '華文', '台灣', '臺灣']"
神經科學研究計畫(3/6),2,"['地位', '創新性', '突破性', '競爭性']",[]
培育優秀學者及團隊計畫(4/4),2,"['博士', '菁英']","['45歲', '台灣']"
國立科學工業園區實驗高級中學教室及運動場擴建計畫(1/1),2,"['面積', '籃球場', '雙語部', '地板']","['10%', '10,350平方公尺', '5.6公頃']"
國立中科實驗高級中學維運計畫(4/4),2,"['中科', '中學', '高中部', '國中部', '雙語部', '資源班']","['104-105年', '中科', '98年8月6日', '國科會', '108年8月', '教育部', '國中部', '中科', '99年9月至103年', '99年8月1日', '國小部', '中科', '99年8月1日', '101-103年', '104-108年', '教育部', '99年05月13日', '99年5月3日', '陳國祥', '國小部', '104年', '台中縣汝鎏國小', '99-101年']"
「高科技設備前瞻技術發展計畫」第二期計畫(2/4),2,['科學園區'],"['1', '10%', '5%', '10%']"
學術攻頂研究計畫(1/1),2,"['期間', '數學', '主持人']","['諾貝爾獎', '10年', '新台幣2,000萬元']"
私立大學校院發展研發特色專案計畫(2/4),2,"['大專校院', '大專', '件數', '主持人', '配合款', '期間']","['100學年度', '68%', '百分之二十', '五年', '三年', '61%', '100學年度']"
自由型卓越學研計畫(1/4),2,"['自由型', '卓越學', '本案', '突破性', '構想書', '件數', '構想', '創新性']",['第一年']
國立中科實驗高級中學國中部校舍興建計畫(1/3),2,"['中科', '中學', '高中部', '國中部']","['105年', '99年8月1日', '中科', '105年8月', '102年度', '99年8月1日', '98年8月6日', '103年9月', '99年5月3日', '103年10月至105年2月', '教育部', '陳國祥', '教育部']"
補助大專校院延攬及獎勵特殊優秀人才措施(4/4),2,"['大專校院', '編制', '菁英']","['中央研究院', '中央研究院']"
具時效性科技政策及科技策略會議結論落實推動計畫(1/1),2,"['時效性', '預算']","['行政院', '2年', '中華民國', '中華民國', '行政院', '4年', '中華民國', '行政院', '行政院']"
財團法人國家實驗研究院發展計畫(1/4),2,"['預算', '綜效']",['97%']
科技政策研究與知識庫服務計畫(1/4),2,['脈絡'],"['103年', '政府']"
